,id_cliente,churn,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte,streaming_tv,streaming_filmes,contrato,fatura_online,forma_pagamento,cobranca_diaria,cobranca_mensal,cobranca_total
1150,1629-DQQVB,No,Female,No,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1.6700000000000002,50.1,709.5
1151,1635-FJFCC,No,Female,No,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1.4683333333333333,44.05,202.15
1152,1635-HDGFT,No,Female,No,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.6833333333333333,20.5,398.55
1153,1635-NZATJ,No,Male,Yes,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.8483333333333333,25.45,1789.65
1154,1636-NTNCO,No,Male,Yes,No,No,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.6983333333333335,50.95,207.35
1155,1640-PLFMP,No,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.341666666666667,70.25,70.25
1156,1641-BYBTK,No,Male,No,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.6733333333333333,20.2,98.35
1157,1641-RQDAY,No,Female,Yes,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.3466666666666667,100.4,3217.65
1158,1642-HMARX,No,Female,No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,3.0566666666666666,91.7,6424.7
1159,1644-IRKSF,Yes,Female,No,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,3.1266666666666665,93.8,3124.5
1160,1645-EFCGT,undefined,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.6466666666666666,19.4,1363.25
1161,1656-DRSMG,No,Female,No,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),3.6616666666666666,109.85,7002.95
1162,1657-DYMBM,No,Male,No,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.6633333333333333,19.9,1110.05
1163,1658-BYGOY,Yes,Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.1816666666666666,95.45,1752.55
1164,1658-TJVOA,No,Female,Yes,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.4699999999999998,74.1,450.9
1165,1658-XUHBX,No,Female,Yes,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2.9583333333333335,88.75,5348.65
1166,1660-HSOOQ,Yes,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,1.655,49.65,49.65
1167,1661-CZBAU,No,Male,No,No,No,48,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),2.365,70.95,3629.2
1168,1663-MHLHE,No,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.64,19.2,19.2
1169,1666-JXLKU,No,Female,No,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.335,100.05,3810.55
1170,1666-JZPZT,No,Male,No,No,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1.6333333333333333,49.0,1291.35
1171,1670-SVOWZ,Yes,Female,No,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),2.9883333333333337,89.65,1208.35
1172,1676-BZZYV,undefined,Male,No,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.65,19.5,1026.35
1173,1676-MQAOA,No,Male,No,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),2.503333333333333,75.1,5336.35
1174,1678-FYZOW,Yes,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.646666666666667,79.4,244.65
1175,1679-JRFBR,No,Female,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),3.605,108.15,7930.55
1176,1680-VDCWW,No,Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.66,19.8,202.25
1177,1682-VCOIO,No,Male,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.6816666666666666,20.45,481.1
1178,1684-FLBGS,No,Female,No,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2.316666666666667,69.5,1652.1
1179,1685-BQULA,No,Female,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3.1133333333333337,93.4,3756.4
1180,1685-VAYJF,No,Male,No,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),1.5066666666666668,45.2,492.0
1181,1686-STUHN,No,Male,No,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.66,19.8,849.9
1182,1689-MRZQR,Yes,Male,No,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,2.61,78.3,2564.3
1183,1689-YQBYY,No,Female,No,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.5533333333333332,76.6,893.0
1184,1696-HXOWK,No,Female,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,3.1883333333333335,95.65,6856.95
1185,1696-MZVAU,No,Male,No,Yes,Yes,39,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),0.8416666666666667,25.25,947.75
1186,1697-BCSHV,No,Female,No,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),2.2266666666666666,66.8,3970.4
1187,1697-LYYYX,No,Female,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0.6366666666666667,19.1,1143.8
1188,1697-NVVGY,No,Male,Yes,Yes,No,19,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),2.2133333333333334,66.4,1286.05
1189,1698-XFZCI,No,Male,No,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,3.591666666666667,107.75,6521.9
1190,1699-HPSBG,Yes,Male,No,No,No,12,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,1.9933333333333332,59.8,727.8
1191,1699-TLDLZ,No,Female,No,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.6566666666666666,19.7,301.55
1192,1699-UOTXU,No,Male,No,No,No,60,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,2.0466666666666664,61.4,3638.25
1193,1702-CCFNJ,No,Male,No,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),2.045,61.35,3169.55
1194,1703-MGIAB,No,Female,No,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,2.3,69.0,1108.0
1195,1704-NRWYE,Yes,Female,Yes,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.695,80.85,751.65
1196,1705-GUHPV,No,Female,No,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.8066666666666666,24.2,1618.2
1197,1707-HABPF,No,Female,Yes,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),3.0433333333333334,91.3,4126.35
1198,1708-PBBOA,No,Female,No,No,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,1.825,54.75,2348.45
1199,1709-EJDOX,No,Female,No,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.6583333333333333,19.75,948.9
1200,1710-RCXUS,No,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),3.0116666666666663,90.35,4614.55
1201,1716-LSAMB,No,Male,No,Yes,Yes,45,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),1.8216666666666665,54.65,2553.7
1202,1722-LDZJS,No,Male,No,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0.6733333333333333,20.2,1068.15
1203,1723-HKXJQ,Yes,Male,No,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.3916666666666666,101.75,4273.45
1204,1724-BQUHA,Yes,Male,Yes,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2.9833333333333334,89.5,477.7
1205,1724-IQWNM,No,Male,No,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.6433333333333333,19.3,19.3
1206,1725-IQNIY,Yes,Male,No,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),3.658333333333333,109.75,6110.2
1207,1725-MIMXW,Yes,Male,No,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.6483333333333333,19.45,19.45
1208,1728-BQDMA,No,Female,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1.4816666666666667,44.45,82.7
1209,1728-CXQBE,No,Male,Yes,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3.1416666666666666,94.25,6081.4
1210,1729-VLAZJ,No,Female,No,No,Yes,10,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,1.3416666666666666,40.25,411.45
1211,1730-VFMWO,No,Female,No,Yes,No,34,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),1.6733333333333333,50.2,1815.3
1212,1730-ZMAME,No,Female,Yes,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2.65,79.5,2665.0
1213,1731-TVIUK,Yes,Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,3.1166666666666667,93.5,362.2
1214,1732-FEKLD,No,Female,No,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),3.158333333333333,94.75,5121.75
1215,1732-VHUBQ,Yes,Female,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2.3516666666666666,70.55,3309.25
1216,1734-ZMNTZ,No,Female,No,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.8333333333333334,25.0,300.7
1217,1735-XMJVH,No,Male,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.645,19.35,152.6
1218,1736-FCXMC,undefined,Male,No,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,3.1483333333333334,94.45,5124.6
1219,1740-CSDJP,Yes,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.175,35.25,35.25
1220,1741-WTPON,No,Male,No,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,3.8616666666666664,115.85,6567.9
1221,1744-JHKYS,No,Female,No,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.8233333333333334,24.7,780.2
1222,1746-TGTWV,No,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),2.5116666666666663,75.35,75.35
1223,1750-CSKKM,Yes,Male,No,No,Yes,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,1.845,55.35,449.75
1224,1751-NCDLI,No,Male,Yes,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.295,98.85,4564.9
1225,1752-OZXFY,No,Male,No,Yes,No,60,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,1.9933333333333332,59.8,3561.15
1226,1754-GKYPY,No,Male,Yes,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2.9916666666666667,89.75,1938.9
1227,1755-FZQEC,No,Male,No,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.6633333333333333,19.9,791.15
1228,1755-RMCXH,No,Male,No,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6766666666666666,20.3,40.25
1229,1757-TCATG,No,Male,No,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.6683333333333333,20.05,746.75
1230,1760-CAZHT,No,Male,No,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6933333333333334,20.8,460.2
1231,1761-AEZZR,Yes,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.6516666666666664,79.55,79.55
1232,1763-KUAAW,No,Female,Yes,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.6783333333333333,20.35,369.6
1233,1763-WQFUK,No,Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,1.6833333333333333,50.5,147.75
1234,1764-VUUMT,No,Male,No,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.6649999999999999,19.95,1269.1
1235,1766-GKNMI,No,Male,No,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2.83,84.9,2516.2
1236,1766-UMRDB,undefined,Male,Yes,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),2.305,69.15,2275.1
1237,1767-CJKBA,No,Male,No,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.8366666666666667,25.1,1697.7
1238,1767-TGTKO,No,Female,No,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.5150000000000001,45.45,411.75
1239,1768-HNVGJ,No,Female,Yes,No,No,45,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,2.335,70.05,3062.45
1240,1768-ZAIFU,Yes,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.84,25.2,25.2
1241,1769-GRUIK,No,Female,No,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.3699999999999997,71.1,1247.75
1242,1771-OADNZ,Yes,Male,Yes,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3.1966666666666668,95.9,2745.2
1243,1775-KWJKQ,No,Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2.9949999999999997,89.85,6562.9
1244,1776-SPBWV,No,Female,No,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.67,20.1,682.1
1245,1777-JYQPJ,No,Male,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.81,24.3,38.45
1246,1779-PWPMG,No,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),3.8216666666666668,114.65,8333.95
1247,1784-BXEFA,No,Female,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.685,20.55,187.35
1248,1784-EZDKJ,No,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),3.56,106.8,5498.8
1249,1785-BPHTP,No,Male,No,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,2.8483333333333336,85.45,2289.9
1250,1790-NESIO,No,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.6799999999999999,20.4,261.3
1251,1791-PQHBB,No,Female,No,No,Yes,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2.04,61.2,125.95
1252,1792-UXAFY,Yes,Female,Yes,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,2.9716666666666667,89.15,1496.9
1253,1794-HBQTJ,Yes,Female,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1.62,48.6,48.6
1254,1794-SWWKL,No,Male,No,Yes,Yes,15,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),1.9883333333333333,59.65,867.1
1255,1796-JANOW,No,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6649999999999999,19.95,38.15
1256,1803-BGNBD,No,Female,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,1.8099999999999998,54.3,654.5
1257,1809-DMJHQ,Yes,Female,No,No,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1.5333333333333334,46.0,221.7
1258,1810-BOHSY,No,Male,No,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),3.2133333333333334,96.4,4911.05
1259,1810-MVMAI,No,Male,No,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,2.253333333333333,67.6,2000.2
1260,1813-JLKWR,No,Female,No,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.66,19.8,1336.65
1261,1813-JYWTO,No,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),2.6816666666666666,80.45,5737.6
1262,1814-DKOLC,No,Female,No,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.8483333333333333,25.45,134.75
1263,1814-WFGVS,No,Male,No,Yes,Yes,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,1.63,48.9,3527.0
1264,1816-FLZDK,No,Male,No,No,No,1,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.9716666666666666,29.15,29.15
1265,1818-ESQMW,No,Female,No,No,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,2.9733333333333336,89.2,2383.6
1266,1820-DJFPH,No,Female,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.8016666666666666,24.05,1709.15
1267,1820-TQVEV,Yes,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.3183333333333334,69.55,69.55
1268,1821-BUCWY,No,Male,No,No,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,1.855,55.65,1653.85
1269,1830-GGFNM,No,Male,No,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),3.1516666666666664,94.55,6078.75
1270,1830-IPXVJ,No,Female,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.6583333333333333,19.75,1311.6
1271,1832-PEUTS,No,Male,No,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),2.9699999999999998,89.1,5411.65
1272,1833-TCXKK,No,Male,No,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3.591666666666667,107.75,4882.8
1273,1833-VGRUM,Yes,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.4733333333333336,74.2,74.2
1274,1834-ABKHQ,No,Female,No,Yes,Yes,52,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),1.6983333333333335,50.95,2610.65
1275,1834-WULEG,No,Male,No,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.675,20.25,439.75
1276,1837-YQUCE,No,Female,No,No,No,70,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.945,58.35,4214.25
1277,1839-FBNFR,No,Female,No,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.6616666666666667,19.85,854.8
1278,1839-UMACK,No,Male,No,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,0.8350000000000001,25.05,949.85
1279,1840-BIUOG,No,Male,No,No,No,20,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,2.29,68.7,1416.2
1280,1841-YSJGV,No,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3.665,109.95,7852.4
1281,1842-EZJMK,Yes,Male,No,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,3.4566666666666666,103.7,5071.05
1282,1843-TLSGD,No,Female,No,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.6950000000000001,20.85,272.35
1283,1845-CSBRZ,No,Female,Yes,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),2.8449999999999998,85.35,1961.6
1284,1845-ZLLIG,No,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1.6716666666666666,50.15,50.15
1285,1846-XWOQN,Yes,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.3383333333333334,70.15,70.15
1286,1848-LBZHY,No,Female,No,Yes,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.6766666666666665,50.3,355.1
1287,1849-RJYIG,No,Female,No,No,No,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.0,60.0,487.75
1288,1850-AKQEP,No,Male,No,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6783333333333333,20.35,178.7
1289,1852-QSWCD,No,Male,No,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.8266666666666667,24.8,1514.85
1290,1852-XEMDW,No,Male,No,No,No,22,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,2.1683333333333334,65.05,1427.55
1291,1853-ARAAQ,No,Female,No,No,No,26,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.6783333333333335,50.35,1277.5
1292,1853-UDXBW,Yes,Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.3333333333333335,70.0,70.0
1293,1855-AGAWH,No,Male,No,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,3.1266666666666665,93.8,2939.8
1294,1855-CFULU,No,Female,Yes,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6683333333333333,20.05,91.45
1295,1862-QRWPE,No,Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.6883333333333332,20.65,1057.0
1296,1862-SKORY,Yes,Female,Yes,Yes,No,40,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.3099999999999998,39.3,1637.4
1297,1866-DIOQZ,No,Female,No,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),2.2266666666666666,66.8,4689.15
1298,1866-NXPSP,No,Female,No,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,2.518333333333333,75.55,2680.15
1299,1866-OBPNR,No,Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),2.4866666666666664,74.6,74.6
